Number,Name,LocalName,StNo,Street,Loclist,Country,Postcode,Coordinates,PlusCode,Website,Phone,Notes,GoogleURL,AppleURL,BingURL
11,Ambasada României în Republica Armenia,Ռումինիայի դեսպանատուն,15,Barbusse St,"Arabkir, Yerevan",Armenia,0028,"40.196208, 44.485391","5FWP+XJ Yerevan, Armenia",https://erevan.mae.ro/,+374 10 275332,,https://goo.gl/maps/PBXhwpME956DTtW38,,
12,Biroul Consular Melbourne al Ambasadei României,,448,St Kilda Rd,Melbourne ,Australia, VIC 3004,"-37.838249, 144.975597",,,,,https://goo.gl/maps/6WrvnNxvDzNFaiuZ6,"https://maps.apple.com/?address=448%20St%20Kilda%20Road,%20Melbourne%20VIC%203004,%20Australia&ll=-37.838524,144.975504",
13,Ambasada României în Australia,Embassy of Romania,4,Dalman Cres,O'Malley,Australia,ACT 2606,"-35.350296, 149.10872","J4X5+VF Canberra, Australian Capital Territory, Australia",https://canberra.mae.ro/,+61 2 6286 2343,,"https://www.google.com/maps/place/Embassy+of+Romania/@-35.350296,149.10872,17z/data=!4m13!1m7!3m6!1s0x0:0x0!2zMzXCsDIxJzAxLjEiUyAxNDnCsDA2JzMxLjQiRQ!3b1!8m2!3d-35.350296!4d149.10872!3m4!1s0x6b164b52393fed43:0xae3f4d29eb3e091e!8m2!3d-35.3503158!4d149.1087473","https://maps.apple.com/?address=4%20Dalman%20Crescent,%20O'Malley%20ACT%202606,%20Australia&auid=13290136396760450171&ll=-35.350124,149.108627",
14,Goodwood Community Services Inc,,32–34,Rosa St,"Goodwood, Adelaide",Australia,SA 5034,"-34.950576, 138.590489","2HXR+M6 Goodwood, South Australia, Australia",http://www.goodwoodcs.org.au/,+61 8 8272 7148,,https://goo.gl/maps/BiRrEzKg7bohytSz7,"https://maps.apple.com/?address=32%20Rosa%20Street,%20Goodwood%20SA%205034,%20Australia&auid=4350323953941386244&ll=-34.950848,138.590530",
15,Biserica Penticostală Perth ,Romanian Pentecostal Church Perth,8,Balga Ave,Balga,Australia,WA 6061,"-31.855998, 115.8389","4RVQ+FH Balga, Western Australia, Australia",http://www.bisericaperth.com/.,+61 8 9345 3888,,https://goo.gl/maps/8UNWpG82AXpoNv9M8,"https://maps.apple.com/?address=8%20Balga%20Avenue,%20Balga%20WA%206061,%20Australia&auid=8236730506571696593&ll=-31.855755,115.838777",
16,Consulatul General al României la Sydney,Consulate General of Romania in Sydney,83 ,York St,Sydney,Australia,NSW 2000,"-33.864472, 151.20582","46J4+79 Sydney, New South Wales, Australia",https://sydney.mae.ro/,+61 2 9299 3764,,https://goo.gl/maps/jD43Gw8zsLpkyrbq8,"https://maps.apple.com/?address=84%20Elizabeth%20Bay%20Road,%20Elizabeth%20Bay%20NSW%202011,%20Australia&auid=17249064050938982734&ll=-33.872120,151.229330",
17,Sediul asociației Româno-Australiană UNIREA,,4,Ponderosa Street,"Hillcrest, Brisbane",Australia,,"-27.665126, 153.029824","82MH+RW Hillcrest, Queensland, Australia",http://unirea.org.au/,+61 411 787 933,,https://goo.gl/maps/G3bW21pjnFU6t7Uh8,"https://maps.apple.com/?address=4%20Ponderosa%20Street,%20Hillcrest%20QLD%204118,%20Australia&auid=4551955010243732364&ll=-27.665423,153.029771",
18,Ponsonby Community Center,,20,Ponsonby Terrace ,Auckland ,Noua Zeelanda,1011,"-36.850045, 174.742093","4PXR+WV Ponsonby, Auckland, New Zealand",https://ponsonbycommunity.org.nz/,+64 9-378 1752,,"https://www.google.com/maps/place/The+Ponsonby+Community+Centre/@-36.8505876,174.7423645,17.63z/data=!4m5!3m4!1s0x6d0d47d8963926b5:0x4c0fa3a6cc047939!8m2!3d-36.8502225!4d174.7421481",,
19,Misiunea Permanenta a Romaniei de la Viena,Ständige Vertretung von Rumänien bei den Internationalen Organisationen in Wien,17,Seilerstätte,Viena,Austria,,"48.203977, 16.373913","693F+HH Vienna, Austria",https://mpviena.mae.ro/,"+43 512 85 66, +43 512 85 73",,"https://www.google.com/maps/place/ST%C3%84NDIGE+VERTRETUNG+VON+RUM%C3%84NIEN+BEI+DEN+INTERNATIONALEN+ORGANISATIONEN+IN+WIEN/@48.2036697,16.3745396,18.5z/data=!4m13!1m7!3m6!1s0x476d079dc3de42e7:0x7ffbee7d5ba79681!2sSeilerst%C3%A4tte+17,+1010+Wien,+Austria!3b1!8m2!3d48.2039665!4d16.3739168!3m4!1s0x476d074eb40c799b:0x9f2b4c9b27ab6620!8m2!3d48.2039665!4d16.3739168",,
20,Ambasada României în Austria,Embassy of Romania,60,Prinz Eugen-Strasse,Viena,Austria,1040,"48.190785, 16.379676","59RH+8R Vienna, Austria",http://viena.mae.ro/,+43 1 5041461,,"https://www.google.com/maps/place/Embassy+of+Romania/@48.1907648,16.3795403,20.12z/data=!4m13!1m7!3m6!1s0x476d077d05a38b29:0x1b21315ddd3ca2ca!2sPrinz+Eugen-Stra%C3%9Fe+60,+1040+Wien,+Austria!3b1!8m2!3d48.1907701!4d16.3796102!3m4!1s0x476d077d05a38b29:0x8e13c69d7cc25616!8m2!3d48.1907701!4d16.3796102",,
21,Ambasada României în Austria,Embassy of Romania,60,Prinz Eugen-Strasse,Viena,Austria,1040,"48.190785, 16.379676","59RH+8R Vienna, Austria",http://viena.mae.ro/,+43 1 5041461,,"https://www.google.com/maps/place/Embassy+of+Romania/@48.1907648,16.3795403,20.12z/data=!4m13!1m7!3m6!1s0x476d077d05a38b29:0x1b21315ddd3ca2ca!2sPrinz+Eugen-Stra%C3%9Fe+60,+1040+Wien,+Austria!3b1!8m2!3d48.1907701!4d16.3796102!3m4!1s0x476d077d05a38b29:0x8e13c69d7cc25616!8m2!3d48.1907701!4d16.3796102",,
22,Institutul Cultural Român,Romanian Culture Institute,39,Argentinierstrasse,Viena,Austria,1040,"48.191845, 16.374946","59RF+PX Vienna, Austria",http://www.rkiwien.at/,+43 1 3191081,,"https://www.google.com/maps/place/ICR+Viena+-+Institutul+Cultural+Roman+in+Viena/@48.1920472,16.3748566,18.5z/data=!4m5!3m4!1s0x476d077e62e3017b:0x2f09136e6dee1a5c!8m2!3d48.1918414!4d16.3749466",,
23,Consulatul Onorific al României la Graz,Honorarkonsulat von Rumänien in der Steiermark,211,Mariatroster Strasse,Graz,Austria,8044,"47.099868, 15.475625","3FXG+W6 Graz, Austria",,+43 316 392156,,"https://www.google.com/maps/place/Mariatroster+Str.+211,+8044+Graz,+Austria/@47.0999171,15.4755817,21z/data=!4m5!3m4!1s0x476e4a04cb83ab93:0x2225a1473a98a9c4!8m2!3d47.0998567!4d15.4755951",,
24,Consulatul Onorific al României la Klagenfurt,Honorarkonsulat von Rumänien in Klagenfurt,7,Bahnhofstrasse,Klagenfurt ,Austria,9020,"46.624940, 14.310791","J8F6+X8 Klagenfurt, Austria",,+43 463 30101 11,,"https://www.google.com/maps/place/Honorkonsulat+von+Rum%C3%A4nien/@46.6250264,14.3116376,18.71z/data=!4m5!3m4!1s0x4770749e799f5b67:0x24e1c849f18fa0a3!8m2!3d46.6249194!4d14.310773",,
25,Consulatul Onorific al României la Salzburg,Honorarkonsulat von Rumänien in Salzburg,1a,Fadingerstrasse ,Salzburg,Austria,5020,"47.801602, 13.067834","R329+J4 Salzburg, Austria",,+43 662 628053,,"https://www.google.com/maps/place/Rum%C3%A4nisches+Honorarkonsulat/@47.8017391,13.0677033,17.25z/data=!4m5!3m4!1s0x0:0x9aefd3e7a1d63356!8m2!3d47.8015911!4d13.067805",,
